Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3",CP_Radial_D5.0mm_P2.50mm,2,470uf,
"C10, C11, C2, C9",1206,4,C,
"C4, C5",1206,2,0.1uf,
"C6, C7",CP_Radial_D5.0mm_P2.50mm,2,C_Polarized,
C8,CP_Radial_D7.5mm_P2.50mm,1,C_Polarized,
"D1, D2",1206,2,LED,
"D3, D4",D_SMA,2,SS34,
J1,JST_XH_B4B-XH-AM_1x04_P2.50mm_Vertical,1,LED3,
"J10, J11, J2, J8, J9","PhoenixContact_MC_1,5_2-G-5.08_1x02_P5.08mm_Horizontal",5,POWER,
J12,JST_XH_B4B-XH-AM_1x04_P2.50mm_Vertical,1,I2C,
J3,PinHeader_1x03_P2.54mm_Vertical,1,LIGHT_SENSOR,
J4,JST_XH_B4B-XH-AM_1x04_P2.50mm_Vertical,1,LED_1,
J5,JST_XH_B4B-XH-AM_1x04_P2.50mm_Vertical,1,USB,
J6,PinHeader_1x04_P2.54mm_Vertical,1,OLED,
J7,PinHeader_1x04_P2.54mm_Vertical,1,FLASH,
L1,L_Coilcraft_XAL8050-223,1,L,
"Q1, Q2, Q3, Q4",TO-252-2_L6.6-W6.1-P4.58-LS9.9-TL,4,IRLR8726TRPBF,C81137
"R1, R14, R15, R17, R18, R19, R2, R20, R4, R6, R7",1206,11,22R,
"R10, R12, R8",1206,3,1K,
"R11, R13, R16, R9",1206,4,10K,
R21,2512,1,R,
"R22, R23",1206,2,R,
"R3, R5",1206,2,220R,
U1,SOIC-8_3.9x4.9mm_P1.27mm,1,XL1509-5.0,
U2,SOT-223-3_TabPin2,1,AMS1117-3.3,
U3,ESP32-C3-WROOM-02U,1,ESP32-C3-WROOM-02,
"U4, U7",DBV5,2,SN74AHC1G32DBVR,
U5,SOIC-8_3.9x4.9mm_P1.27mm,1,CH330N,
U6,SOIC-8_3.9x4.9mm_P1.27mm,1,DS18B20Z,
U8,SOIC-8_3.9x4.9mm_P1.27mm,1,INA219AxD,
