Designator,Mid X,Mid Y,Rotation,Layer
C1,164.7,-44.6,180.0,top
C10,150.6,-86.22,270.0,top
C11,170.34,-86.46,90.0,top
C2,151.96,-67.27,270.0,top
C3,155.8825,-69.349999,270.0,top
C4,165.61,-86.29,90.0,top
C5,116.24,-48.22,180.0,top
C6,165.51,-75.684887,90.0,top
C7,156.08,-76.084887,90.0,top
C8,165.048605,-52.65,180.0,top
C9,146.62,-79.94,180.0,top
D1,141.51,-87.5675,90.0,top
D2,146.65,-87.89,180.0,top
D3,168.07,-69.34,0.0,top
D4,161.08,-69.89,270.0,top
J1,96.42,-43.235,0.0,top
J10,81.16,-95.11,270.0,top
J11,81.29,-83.52,270.0,top
J12,165.01,-94.465,0.0,top
J2,164.915,-33.5275,180.0,top
J3,119.1,-95.75,90.0,top
J4,127.4,-43.335,0.0,top
J5,111.96,-43.365,0.0,top
J6,132.7,-81.96,90.0,top
J7,116.41,-66.01,0.0,top
J8,81.37,-60.04,270.0,top
J9,81.3575,-72.155,270.0,top
L1,165.97,-61.25,90.0,top
Q1,95.68,-59.84,180.0,top
Q2,95.735,-71.13,180.0,top
Q3,95.62,-90.21,180.0,top
Q4,95.62,-82.15,180.0,top
R1,116.27,-90.58,90.0,top
R10,107.7775,-72.67,180.0,top
R11,103.05,-71.13,270.0,top
R12,108.48,-92.23,180.0,top
R13,103.63,-90.27,270.0,top
R14,109.145,-84.0425,180.0,top
R15,103.62,-82.05,270.0,top
R16,108.1475,-57.27,180.0,top
R17,131.4375,-48.0,0.0,top
R18,142.87,-54.69,90.0,bottom
R19,160.3875,-80.125,180.0,bottom
R2,142.3875,-42.7,180.0,bottom
R20,102.8375,-35.725,180.0,bottom
R21,169.92,-43.24,270.0,top
R22,122.42,-55.75,0.0,bottom
R23,125.27,-52.78,180.0,bottom
R3,146.61,-83.39,0.0,top
R4,144.93,-46.18,180.0,top
R5,141.28,-80.9175,90.0,top
R6,154.39,-44.4,270.0,top
R7,170.31,-50.27,270.0,top
R8,105.0,-63.42,180.0,top
R9,103.19,-59.45,270.0,top
U1,157.15,-60.855,90.0,top
U2,157.8025,-86.44,90.0,top
U3,136.09,-67.42,0.0,top
U4,149.989999,-44.6638,90.0,top
U5,110.075,-51.665,270.0,top
U6,92.44,-51.36,90.0,top
U7,125.95,-48.74,0.0,top
U8,128.69,-54.55,270.0,top
